,song,artist
2606,Talk That Talk,Rihanna Featuring Jay-Z
2607,Good Girl,Carrie Underwood
2608,Strip,Chris Brown Featuring Kevin K-MAC McCall
2609,Ours,Taylor Swift
2610,Dance (A$$),Big Sean Featuring Nicki Minaj
2611,Tonight Is The Night,Outasight
2612,Shadow Days,John Mayer
2613,Alone With You,Jake Owen
2614,Love You Like A Love Song,Selena Gomez & The Scene
2615,Work Out,J. Cole
2616,A Woman Like You,Lee Brice
2617,Over You,Miranda Lambert
2618,Love On Top,Beyonce
2619,Birthday Cake,Rihanna Featuring Chris Brown
2620,Drink On It,Blake Shelton
2621,I Won't Give Up,Jason Mraz
2622,Dancin' Away With My Heart,Lady Antebellum
2623,Home,Dierks Bentley
2624,Can't Get Enough,J. Cole Featuring Trey Songz
2625,So Good,B.o.B
2626,Ayy Ladies,Travis Porter Featuring Tyga
2627,Rumour Has It,Adele
2628,Climax,Usher
2629,Somethin' 'Bout A Truck,Kip Moore
2630,Safe & Sound,Taylor Swift Featuring The Civil Wars
2631,Fly Over States,Jason Aldean
2632,Drank In My Cup,Kirko Bangz
2633,Sorry For Party Rocking,LMFAO
2634,You Gonna Fly,Keith Urban
2635,Princess Of China,Coldplay Featuring Rihanna
2636,Levels,Avicii
2637,Springsteen,Eric Church
2638,Lights,Ellie Goulding
2639,Love's Gonna Make It Alright,George Strait
2640,Lotus Flower Bomb,Wale Featuring Miguel
2641,Better Than I Used To Be,Tim McGraw
2642,Reality,Kenny Chesney
2643,Banjo,Rascal Flatts
2644,Midnight City,M83.
2645,Bangarang,Skrillex Featuring Sirah
2646,You Da One,Rihanna
2647,Red Solo Cup,Toby Keith
2648,Faded,Tyga Featuring Lil Wayne
2649,UP!,LoveRance Featuring IamSu & Skipper or 50 Cent
2650,Where I Come From,Montgomery Gentry
2651,Mirror,Lil Wayne Featuring Bruno Mars
2652,Scary Monsters And Nice Sprites,Skrillex
2653,Brokenhearted,Karmin
2654,Gotta Have It,Jay Z Kanye West
2655,4 AM,Melanie Fiona
2656,Lonely Boy,The Black Keys
2657,You Don't Know Her Like I Do,Brantley Gilbert
2658,Mr. Wrong,Mary J. Blige Featuring Drake
2659,The Trouble With Girls,Scotty McCreery
2660,Magic,Future Featuring T.I.
2661,Do It Like You,Diggy Featuring Jeremih
2662,Blackout,Breathe Carolina
2663,Shake It Out,Florence + The Machine
2664,I Do,Young Jeezy Featuring Jay-Z & Andre 3000
2665,No Hurry,Zac Brown Band
2666,Sex Ain't Better Than Love,Trey Songz
2667,Don't Stop (Color On The Walls),Foster The People
2668,Drunk On You,Luke Bryan
2669,Cough Syrup,Young The Giant
2670,Whistle,Flo Rida
2671,We Are Never Ever Getting Back Together,Taylor Swift
2672,Everybody Talks,Neon Trees
2673,Wide Awake,Katy Perry
2674,Good Time,Owl City & Carly Rae Jepsen
2675,As Long As You Love Me,Justin Bieber Featuring Big Sean
2676,Blow Me (One Last Kiss),P!nk
2677,Payphone,Maroon 5 Featuring Wiz Khalifa
2678,Titanium,David Guetta Featuring Sia
2679,Too Close,Alex Clare
2680,Give Your Heart A Break,Demi Lovato
2681,Want U Back,Cher Lloyd
2682,Where Have You Been,Rihanna
2683,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
2684,Pound The Alarm,Nicki Minaj
2685,Pontoon,Little Big Town
2686,Let's Go,Calvin Harris Featuring Ne-Yo
2687,No Lie,2 Chainz Featuring Drake
2688,Don't Wake Me Up,Chris Brown
2689,Blown Away,Carrie Underwood
2690,Take A Little Ride,Jason Aldean
2691,50 Ways To Say Goodbye,Train
2692,Scream,Usher
2693,Heart Attack,Trey Songz
2694,She's So Mean,matchbox twenty
2695,"Work Hard, Play Hard",Wiz Khalifa
2696,Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne"
2697,2 Reasons,Trey Songz Featuring T.I.
2698,Time Is Love,Josh Turner
2699,Cowboys And Angels,Dustin Lynch
2700,Come Over,Kenny Chesney
2701,Dark Side,Kelly Clarkson
2702,Over,Blake Shelton
2703,Angel Eyes,Love And Theft
2704,Why Ya Wanna,Jana Kramer
2705,Hard To Love,Lee Brice
2706,For You,Keith Urban
2707,Lemme See,Usher Featuring Rick Ross
2708,Truck Yeah,Tim McGraw
2709,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
2710,Amen,Meek Mill Featuring Drake
2711,Tongue Tied,Grouplove
2712,Feel Again,OneRepublic
2713,Burn It Down,Linkin Park
2714,I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne
2715,Settle Down,No Doubt
2716,Turn On The Lights,Future
2717,Come Wake Me Up,Rascal Flatts
2718,Fastest Girl In Town,Miranda Lambert
2719,Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain"
2720,Lovin' You Is Fun,Easton Corbin
2721,The Wind,Zac Brown Band
2722,Kiss Tomorrow Goodbye,Luke Bryan
2723,Chasing The Sun,The Wanted
2724,Thinkin Bout You,Frank Ocean
2725,Birthday Song,2 Chainz Featuring Kanye West
2726,The One That Got Away,Jake Owen
2727,Both Of Us,B.o.B Featuring Taylor Swift
2728,Snap Backs & Tattoos,Driicky Graham
2729,5-1-5-0,Dierks Bentley
2730,Promises,NERO
2731,Tonight (Best You Ever Had),John Legend Featuring Ludacris
2732,That's Why I Pray,Big & Rich
2733,Postcard From Paris,The Band Perry
2734,Enough Of No Love,Keyshia Cole Featuring Lil Wayne
2735,Hello,Karmin
2736,Nobody's Perfect,J. Cole Featuring Missy Elliott
2737,Creepin',Eric Church
2738,Put It Down,Brandy Featuring Chris Brown
2739,My Homies Still,Lil Wayne Featuring Big Sean
2740,Shinin' On Me,Jerrod Niemann
2741,Madness,Muse
2742,Wanted You More,Lady Antebellum
2743,Take A Walk,Passion Pit
2744,Ice,Kelly Rowland Featuring Lil Wayne
2745,Country Nation,Brad Paisley
2746,Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx"
2747,Adore,Cashmere Cat Featuring Ariana Grande
2748,Monster,Meek Mill
2749,Move That Doh,"Future Featuring Pharrell, Pusha T & Casino"
2750,I Got A Car,George Strait
2751,Chainsaw,The Band Perry
2752,I Cry,Flo Rida
2753,Every Storm (Runs Out Of Rain),Gary Allan
2754,Begin Again,Taylor Swift
2755,How Country Feels,Randy Houser
2756,Southern Comfort Zone,Brad Paisley
2757,She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank
2758,Crying On A Suitcase,Casey James
2759,Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic"
2760,Hopeless Wanderer,Mumford & Sons
2761,Right There,Ariana Grande Featuring Big Sean
2762,Made In The USA,Demi Lovato
2763,What About Love,Austin Mahone
2764,Chloe (You're The One I Want),Emblem3
2765,Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan"
2766,La La La,Naughty Boy Featuring Sam Smith
2767,Lettin' The Night Roll,Justin Moore
2768,Life Of The Party,Shawn Mendes
2769,Calm Down,Busta Rhymes Featuring Eminem
2770,Keep Them Kisses Comin',Craig Campbell
2771,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte
2772,First Love,Jennifer Lopez
2773,Ten Feet Tall,Afrojack Featuring Wrabel
2774,Back On Road,Gucci Mane & Drake
2775,P**** Print,Gucci Mane Featuring Kanye West
2776,Hey Pretty Girl,Kip Moore
2777,Rich As F**k,Lil Wayne Featuring 2 Chainz
2778,Anywhere With You,Jake Owen
2779,Jump Right In,Zac Brown Band
2780,I'm Out,Ciara Featuring Nicki Minaj
2781,Live My Life,Far*East Movement Featuring Justin Bieber
2782,I Don't Want This Night To End,Luke Bryan
2783,You,Chris Young
2784,Roman Reloaded,Nicki Minaj Featuring Lil Wayne
2785,When I'm Gone,Wiz Khalifa
2786,Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.
2787,Make It Nasty,Tyga
2788,Thank You,Estelle
2789,Man Of The Year,ScHoolboy Q
2790,El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis
2791,Collard Greens,ScHoolboy Q Featuring Kendrick Lamar
2792,We Were Us,Keith Urban And Miranda Lambert
2793,Carolina,Parmalee
2794,Radio,Darius Rucker
2795,Marry Me,Jason Derulo
2796,Girls Talk Boys,5 Seconds Of Summer
2797,Body Say,Demi Lovato
2798,M.I.L.F. $,Fergie
2799,We Run The Night,Havana Brown Featuring Pitbull
2800,Cashin' Out,Ca$h Out
2801,The Fighter,Gym Class Heroes Featuring Ryan Tedder
2802,Dive In,Trey Songz
2803,Oh Love,Green Day
2804,Throw That,Slaughterhouse Featuring Eminem
2805,I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross
2806,I Don't Like,Chief Keef Featuring Lil Reese
2807,First Kiss,Kid Rock
2808,All Your Fault,Big Sean Featuring Kanye West
2809,You Are In Love,Taylor Swift
2810,Paradise,Big Sean
2811,No Tellin',Drake
2812,Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne
2813,Highway Don't Care,Tim McGraw With Taylor Swift
2814,"Bitch, Don't Kill My Vibe",Kendrick Lamar
2815,Nothing Like Us,Justin Bieber
2816,Let There Be Cowgirls,Chris Cagle
2817,Get Her Back,Robin Thicke
2818,Jungle,Jamie N Commons & X Ambassadors
2819,You & I,One Direction
2820,Automatic,Miranda Lambert
2821,Wild Wild Love,Pitbull Featuring G.R.L.
2822,I Will Always Love You,Whitney Houston
2823,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
2824,Make Me Proud,Drake Featuring Nicki Minaj
2825,Fly / I Believe I Can Fly,Glee Cast
2826,Cough Syrup,Glee Cast
2827,What Doesn't Kill You (Stronger),Glee Cast
2828,Here's To Us,Glee Cast
2829,Mutha***** Up,Tyga Featuring Nicki Minaj
2830,Glad You Came,Glee Cast
2831,Baby I,Ariana Grande
2832,Slow Down,Selena Gomez
2833,DONE.,The Band Perry
2834,Play Hard,David Guetta Featuring Ne-Yo & Akon
2835,Beat This Summer,Brad Paisley
2836,Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda
2837,Bored To Death,Blink-182
2838,La Bicicleta,Carlos Vives & Shakira
2839,Death Of A Bachelor,Panic! At The Disco
2840,Lean & Dabb,iLoveMemphis
2841,Wasting All These Tears,Cassadee Pope
2842,Drunk Last Night,Eli Young Band
2843,I Luv This Sh*t,August Alsina Featuring Trinidad James
2844,How I Feel,Flo Rida
2845,Alone Together,Fall Out Boy
2846,All That Matters,Justin Bieber
2847,(Kissed You) Good Night,Gloriana
2848,Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne"
2849,Back In Time,Pitbull
2850,Yuck!,2 Chainz Featuring Lil Wayne
2851,Beez In The Trap,Nicki Minaj Featuring 2 Chainz
2852,Lamborghini Angels,Lupe Fiasco
2853,Neon,Chris Young
2854,Glass,Thompson Square
2855,Flexicution,Logic
2856,Wonderland,Taylor Swift
2857,Preach,Drake Featuring PARTYNEXTDOOR
2858,6 God,Drake
2859,Used To,Drake Featuring Lil Wayne
2860,What Kind Of Man,Florence + The Machine
2861,Shots,Imagine Dragons
2862,Now & Forever,Drake
2863,6 Man,Drake
2864,Miss Jackson,Panic! At The Disco Featuring Lolo
2865,Ooh La La,Britney Spears
2866,Hail To The King,Avenged Sevenfold
2867,People Like Us,Kelly Clarkson
2868,Here's To Never Growing Up,Avril Lavigne
2869,Gentleman,PSY
2870,Fine China,Chris Brown
2871,Clique,"Kanye West, Jay-Z, Big Sean"
2872,No Worries,Lil Wayne Featuring Detail
2873,Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar
2874,Let Me Love You (Until You Learn To Love Yourself),Glee Cast
2875,Beer Money,Kip Moore
2876,Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics"
2877,Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas
2878,As Long As You Love Me (Acoustic),Justin Bieber
2879,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
2880,Greatest Love Of All,Whitney Houston
2881,I Like It Like That,Hot Chelle Rae Featuring New Boyz
2882,Just A Kiss,Lady Antebellum
2883,How Will I Know,Whitney Houston
2884,Runaway Baby,Bruno Mars
2885,Heartbeat,The Fray
2886,I'm Gonna Love You Through It,Martina McBride
2887,Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz"
2888,Stupid Hoe,Nicki Minaj
2889,I Will Always Love You,Glee Cast
2890,Stereo Hearts,Glee Cast
2891,No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean
2892,Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech
2893,Kiss Me Kiss Me,5 Seconds Of Summer
2894,Afire Love,Ed Sheeran
2895,West Coast,Lana Del Rey
2896,Wild Life,Jack & Jack
2897,Lazarus,David Bowie
2898,Space Oddity,David Bowie
2899,Under Pressure,Queen & David Bowie
2900,Blackstar,David Bowie
2901,Boyfriend,Justin Bieber
2902,One Thing,One Direction
2903,Gold On The Ceiling,The Black Keys
2904,Replay,Zendaya
2905,Survival,Eminem
2906,Berzerk,Eminem
2907,You Sound Good To Me,Lucy Hale
2908,TKO,Justin Timberlake
2909,Sunny And 75,Joe Nichols
2910,Pumped Up Kicks,Foster The People
2911,Lighters,Bad Meets Evil Featuring Bruno Mars
2912,You Make Me Feel...,Cobra Starship Featuring Sabi
2913,Cheers (Drink To That),Rihanna
2914,Super Bass,Nicki Minaj
2915,You And I,Lady Gaga
2916,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
2917,How To Love,Lil Wayne
2918,Last Friday Night (T.G.I.F.),Katy Perry
2919,Good Life,OneRepublic
2920,I Wanna Go,Britney Spears
2921,In The Dark,Dev
2922,Tonight Tonight,Hot Chelle Rae
2923,If I Die Young,The Band Perry
2924,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
2925,Headlines,Drake
2926,God Gave Me You,Blake Shelton
2927,She Will,Lil Wayne Featuring Drake
2928,Motivation,Kelly Rowland Featuring Lil Wayne
2929,Take A Back Road,Rodney Atkins
2930,Mr. Saxobeat,Alexandra Stan
2931,It Girl,Jason Derulo
2932,Barefoot Blue Jean Night,Jake Owen
2933,Otis,Jay Z Kanye West Featuring Otis Redding
2934,The Edge Of Glory,Lady Gaga
2935,Mr. Know It All,Kelly Clarkson
2936,You And Tequila,Kenny Chesney Featuring Grace Potter
2937,Remind Me,Brad Paisley Duet With Carrie Underwood
2938,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash
2939,Nothing,The Script
2940,Crazy Girl,Eli Young Band
2941,Take Over Control,Afrojack Featuring Eva Simons
2942,Best Thing I Never Had,Beyonce
2943,Pretty Girls,Iyaz Featuring Travie McCoy
2944,Made In America,Toby Keith
2945,Dirt Road Anthem,Jason Aldean
2946,Marvins Room,Drake
2947,Better With The Lights Off,New Boyz Feat. Chris Brown
2948,Long Hot Summer,Keith Urban
2949,Just Can't Get Enough,The Black Eyed Peas
2950,Here For A Good Time,George Strait
2951,Every Teardrop Is A Waterfall,Coldplay
2952,Keep Your Head Up,Andy Grammer
2953,Knee Deep,Zac Brown Band Featuring Jimmy Buffett
2954,Easy,Rascal Flatts Featuring Natasha Bedingfield
2955,Baggage Claim,Miranda Lambert
2956,Sparks Fly,Taylor Swift
2957,Fly,Nicki Minaj Featuring Rihanna
2958,Rain Over Me,Pitbull Featuring Marc Anthony
2959,Skyscraper,Demi Lovato
2960,Just Fishin',Trace Adkins
2961,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers
2962,We Owned The Night,Lady Antebellum
2963,Love Done Gone,Billy Currington
2964,Quickie,Miguel
2965,Gucci Gucci,Kreayshawn
2966,Country Must Be Country Wide,Brantley Gilbert
2967,No Sleep,Wiz Khalifa
2968,Brighter Than The Sun,Colbie Caillat
2969,Police Dog Blues,Hugh Laurie
2970,That Way,Wale Featuring Jeremih & Rick Ross
2971,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj
2972,One More Drinkin' Song,Jerrod Niemann
2973,Love Don't Run,Steve Holy
2974,Blunt Blowin,Lil Wayne
2975,Out Of My Head,Lupe Fiasco Featuring Trey Songz
2976,Am I The Only One,Dierks Bentley
2977,Walk,Foo Fighters
2978,I Got Nothin',Darius Rucker
2979,Beautiful People,Chris Brown Featuring Benny Benassi
2980,Far Away,Tyga Featuring Chris Richardson
2981,Body And Soul,Tony Bennett & Amy Winehouse
2982,All Your Life,The Band Perry
2983,Wet The Bed,Chris Brown Feat. Ludacris
2984,I Got You,Thompson Square
2985,Mrs. Right,Mindless Behavior Featuring Diggy
2986,Fish,Craig Campbell
2987,Faster,Matt Nathanson
2988,Let It Rain,David Nail Featuring Sarah Buxton
2989,Cost Of Livin',Ronnie Dunn
2990,Body 2 Body,Ace Hood Featuring Chris Brown
2991,Got 2 Luv U,Sean Paul Featuring Alexis Jordan
2992,Where You Belong,The Weeknd
2993,I Put A Spell On You,Annie Lennox
2994,Keep Your Money,Empire Cast Featuring Jussie Smollett
2995,Just The Way You Are,Bruno Mars
2996,Like A G6,Far*East Movement Featuring Cataracs & Dev
2997,Teenage Dream,Katy Perry
2998,Just A Dream,Nelly
2999,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
3000,Dynamite,Taio Cruz
3001,Love The Way You Lie,Eminem Featuring Rihanna
3002,Only Girl (In The World),Rihanna
3003,I Like It,Enrique Iglesias Featuring Pitbull
3004,Club Can't Handle Me,Flo Rida Featuring David Guetta
3005,Bottoms Up,Trey Songz Featuring Nicki Minaj
3006,Mine,Taylor Swift
3007,Take It Off,Ke$ha
3008,Deuces,Chris Brown Featuring Tyga & Kevin McCall
3009,Animal,Neon Trees
3010,Toxic,Glee Cast
3011,Gonorrhea,Lil Wayne Featuring Drake
3012,Misery,Maroon 5
3013,Cooler Than Me,Mike Posner
3014,California Gurls,Katy Perry Featuring Snoop Dogg
3015,F**k You! (Forget You),Cee Lo Green
3016,Airplanes,B.o.B Featuring Hayley Williams
3017,Magic,B.o.B Featuring Rivers Cuomo
3018,Not Afraid,Eminem
3019,The Only Exception,Paramore
3020,The Only Exception,Glee Cast
3021,Secrets,OneRepublic
3022,Hot Tottie,Usher Featuring Jay-Z
3023,Stuck Like Glue,Sugarland
3024,The Boys of Fall,Kenny Chesney
3025,If I Had You,Adam Lambert
3026,Fancy,Drake Featuring T.I. & Swizz Beatz
3027,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj
3028,OMG,Usher Featuring will.i.am
3029,King Of Anything,Sara Bareilles
3030,Ridin' Solo,Jason Derulo
3031,September,Daughtry
3032,Love Like Woe,The Ready Set
3033,Right Above It,Lil Wayne Featuring Drake
3034,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj
3035,Billionaire,Travie McCoy Featuring Bruno Mars
3036,What's Wrong With Them,Lil Wayne Featuring Nicki Minaj
3037,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
3038,"Hey, Soul Sister",Train
3039,As She's Walking Away,Zac Brown Band Featuring Alan Jackson
3040,If It's Love,Train
3041,Need You Now,Lady Antebellum
3042,Come Back Song,Darius Rucker
3043,Check It Out,will.i.am & Nicki Minaj
3044,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
3045,I'm A Slave 4 U,Glee Cast
3046,Stronger,Glee Cast
3047,Baby One More Time,Glee Cast
3048,Teach Me How To Dougie,Cali Swag District
3049,Me Against The Music,Glee Cast
3050,Farmer's Daughter,Rodney Atkins
3051,Roll With It,Easton Corbin
3052,My Kinda Party,Jason Aldean
3053,All Over Me,Josh Turner
3054,Your Love,Nicki Minaj
3055,Miss Me,Drake Featuring Lil Wayne
3056,We No Speak Americano,Yolanda Be Cool & Dcup
3057,Holding You Down (Goin In Circles),Jazmine Sullivan
3058,I Am Not A Human Being,Lil Wayne
3059,Can't Be Friends,Trey Songz
3060,Little Lion Man,Mumford & Sons
3061,Love All Over Me,Monica
3062,Please Don't Go,Mike Posner
3063,Our Kind Of Love,Lady Antebellum
3064,Pretty Good At Drinkin' Beer,Billy Currington
3065,Why Wait,Rascal Flatts
3066,La La La,Auburn Featuring Iyaz
3067,Right Thru Me,Nicki Minaj
3068,Bill Gates,Lil Wayne
3069,Half Of My Heart,John Mayer
3070,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance
3071,Anything Like Me,Brad Paisley
3072,Little White Church,Little Big Town
3073,Toot It And Boot It,YG
3074,Grenade,Bruno Mars
3075,A Year Without Rain,Selena Gomez & The Scene
3076,Got Your Back,T.I. Featuring Keri Hilson
3077,The Breath You Take,George Strait
3078,All I Want Is You,Miguel Featuring J. Cole
3079,B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P
3080,Mama's Song,Carrie Underwood
3081,Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius
3082,No Love,Eminem Featuring Lil Wayne
3083,All About Tonight,Blake Shelton
3084,POWER,Kanye West
3085,Waka Waka (This Time For Africa),Shakira Featuring Freshlyground
3086,The Catalyst,Linkin Park
3087,Empire State Of Mind,Glee Cast
3088,Only Prettier,Miranda Lambert
3089,Way Out Here,Josh Thompson
3090,Smoke A Little Smoke,Eric Church
3091,Turn On The Radio,Reba
3092,Dog Days Are Over,Florence + The Machine
3093,Pretty Boy Swag,Soulja Boy Tell'em
3094,Heart Attack,Demi Lovato
3095,22,Taylor Swift
3096,Part II (On The Run),Jay Z Featuring Beyonce
3097,Oceans,Jay Z Featuring Frank Ocean
3098,Lego House,Ed Sheeran
3099,Picasso Baby,JAY-Z
3100,Black Skinhead,Kanye West
3101,Crown,JAY-Z
3102,Keep Me In Mind,Zac Brown Band
3103,Say Aah,Lindsey Pavao
3104,Sexy And I Know It,Glee Cast Featuring Ricky Martin
3105,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
3106,Strange Clouds,B.o.B Featuring Lil Wayne
3107,You The Boss,Rick Ross Featuring Nicki Minaj
3108,Smooth Criminal,Glee Cast Featuring 2Cellos
3109,Round Of Applause,Waka Flocka Flame Featuring Drake
3110,La Isla Bonita,Glee Cast Featuring Ricky Martin
3111,Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle"
3112,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz
3113,Rest Of My Life,Ludacris Featuring Usher & David Guetta
3114,Bad Ass,Kid Ink Featuring Meek Mill & Wale
3115,Wild For The Night,A$AP Rocky Featuring Skrillex
3116,Til My Last Day,Justin Moore
3117,Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne"
3118,E.T.,Katy Perry Featuring Kanye West
3119,S&M,Rihanna Featuring Britney Spears
3120,Born This Way,Lady Gaga
3121,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
3122,F**kin' Perfect,P!nk
3123,Down On Me,Jeremih Featuring 50 Cent
3124,On The Floor,Jennifer Lopez Featuring Pitbull
3125,Blow,Ke$ha
3126,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
3127,Firework,Katy Perry
